Borough,Number,Street
Brooklyn,1335,STERLING PLACE
Brooklyn,1161,76 STREET
Brooklyn,1229,EAST 28 STREET
Manhattan,415,EAST 87 STREET
Manhattan,533,EAST 84 STREET
Manhattan,290,ELIZABETH STREET
Manhattan,316,EAST 19 STREET
Manhattan,292,ELIZABETH STREET
Manhattan,500,WEST 35 STREET
Manhattan,460,WEST 24 STREET
Manhattan,1928,3 AVENUE
Staten Island,159,FIELDS AVENUE
Bronx,2410,TIEMANN AVENUE
Staten Island,192,WALCOTT AVENUE
Bronx,408,EAST 179 STREET
Queens,162-05,77 ROAD
Staten Island,56,ISMAY STREET
Brooklyn,406,MAPLE STREET
Staten Island,48,DOROTHY STREET
Brooklyn,1516,55 STREET
Queens,121-017,GRAYSON STREET
Staten Island,56,ISMAY STREET
Queens,33-014,172 STREET
Staten Island,12,DOROTHY STREET
Bronx,2936,TIEMANN AVENUE
Queens,12-27,152 STREET
Brooklyn,97,PRESIDENT STREET
Brooklyn,655,76 STREET
Brooklyn,629,AVENUE T
Brooklyn,2137,EAST 9 STREET
Manhattan,13,WEST 61 STREET
Staten Island,202,PARK AVENUE
Queens,61-41,77 PLACE
Queens,157-017,90 STREET
Brooklyn,1261,UNION STREET
Queens,223-023,108 AVENUE
Staten Island,120,MARION AVENUE
Staten Island,76,HARVEY AVENUE
Brooklyn,1721,AVENUE J
Queens,145-18,18 AVENUE
Brooklyn,2445,EAST 71 STREET
Queens,104-05,195 STREET
Queens,137-024,CENTREVILLE STREET
Queens,225-01,113 DRIVE
Manhattan,14,BROADWAY TERRACE
Staten Island,87,OAKVILLE STREET
Staten Island,58,JOSEPH AVENUE
Brooklyn,807,NOSTRAND AVENUE
Staten Island,52,JOSEPH AVENUE
Staten Island,26,JOSEPH AVENUE
Staten Island,175,SUNSET AVENUE
Brooklyn,1488,EAST  29 STREET
Brooklyn,948,EAST 46 STREET
Queens,147-015,HAWTHORNE AVENUE
Queens,111-029,177 STREET
Queens,104-05,195 STREET
Staten Island,89,WALCOTT AVENUE
Queens,67-45,HARROW STREET
Staten Island,150,JOSEPH AVENUE
Brooklyn,9024,AVENUE A
Queens,69-31,225 STREET
Queens,114-01,116 STREET
Queens,138-018,ELDER AVENUE
Brooklyn,6737,3 AVENUE
Brooklyn,2445,EAST  71 STREET
Queens,111-50,146 STREET
Staten Island,18,PARK PLACE
Staten Island,61,WEINER STREET
Queens,62-94,AUSTIN STREET
Queens,,
Queens,150-20,77 ROAD
Queens,144-037,78 AVENUE
Staten Island,273,WATERS AVENUE
Queens,90-004,188 STREET
Queens,90-004,188 STREET
Brooklyn,10108,AVENUE L
Staten Island,22,WASHINGTON AVENUE
Queens,34-020,150 PLACE
Staten Island,4521,HYLAN BOULEVARD
Queens,134-11,57 AVENUE
Queens,145-50,17 AVENUE
Manhattan,57,ST NICHOLAS PLACE
Manhattan,121,WEST 21 STREET
Manhattan,121,WEST 21 STREET
Manhattan,121,WEST 21 STREET
Manhattan,1,POLICE PLAZA
Manhattan,1,POLICE PLAZA
Brooklyn,3619,AVENUE H
Brooklyn,619,CONEY ISLAND AVENUE
Staten Island,4816,HYLAN BOULEVARD
Manhattan,1,POLICE PLAZA
Queens,120-017,179 STREET
Queens,142-09,84 DRIVE
Queens,106-016,SUTTER AVENUE
Queens,147-38,70 ROAD
Manhattan,227,E 14 ST
Manhattan,2,HUBERT STREET
Queens,25-32,BEACH CHANNEL DRIVE
Queens,116-020,130 STREET
Bronx,1982,BRONXDALE AVENUE
Brooklyn,9416,AVENUE B
Staten Island,703,TARGEE STREET
Brooklyn,465,POWELL STREET
Brooklyn,2155,82 ST
Staten Island,81,ROME AVENUE
Brooklyn,1535,55 STREET
Queens,157-017,90 STREET
Staten Island,69,JOSEPH AVENUE
Staten Island,175,SUNSET AVENUE
Staten Island,100,DRIGGS STREET
Bronx,1982,BRONXDALE AVENUE
Queens,85-02,66 ROAD
Staten Island,78,JOSEPH AVENUE
Bronx,1011,EAST 230 STREET
Brooklyn,2685,EAST 26 STREET
Brooklyn,2683,EAST 26 STREET
Brooklyn,1911,ALBEMARLE ROAD
Staten Island,178,AMSTERDAM AVENUE
Queens,144-05,68 DRIVE
Queens,28-12,160 STREET
Queens,32-17,70 STREET
Queens,88-04,63 DRIVE
Queens,66-20,52 AVENUE
Queens,34-11,146 STREET
Queens,75-17,62 STREET
Queens,23-14,FRANCIS LEWIS BOULEVARD
Manhattan,124,WEST 93 STREET
Manhattan,900,WEST 190 STREET
Manhattan,25,NAGLE AVENUE
Bronx,530,CITY ISLAND AVENUE
Brooklyn,96,EAST 43 STREET
Queens,51-011,IRELAND STREET
Manhattan,1,POLICE PLAZA
Queens,67-046,HARROW STREET
Staten Island,96,JOSEPH AVENUE
Brooklyn,7001,15 AVENUE
Bronx,265,EAST 239 STREET
Brooklyn,564,76 ST
Brooklyn,1701,MC DONALD AVENUE
Bronx,3434,HUGUENOT AVENUE
Brooklyn,4406,AVENUE J
Brooklyn,728,EAST 79 STREET
Bronx,1450,COMMONWEALTH AVENUE
Staten Island,45,FORT PLACE
Staten Island,45,FORT PLACE
Brooklyn,710,AVENUE V
Brooklyn,982,BAY RIDGE PARKWAY
Brooklyn,1138,OCEAN AVENUE
Brooklyn,545,MACON STREET
Queens,114-001,180 STREET
Queens,158-48,103 STREET
Queens,115-064,231 STREET
Staten Island,1,RUGBY AVENUE
Staten Island,59,WEINER STREET
Queens,157-035,101 STREET
Queens,67-045,185 STREET
Staten Island,57,OAKVILLE STREET
Queens,80-20,95 AVENUE
Staten Island,121,JOSEPH AVENUE
Queens,33-042,171 STREET
Queens,67-065,73 PL
Queens,168-04,29 AVENUE
Manhattan,1644,YORK AVENUE
Staten Island,53,LYON PLACE
Manhattan,1,POLICE PLAZA
Manhattan,131,WEST 21 STREET
Manhattan,1,POLICE PLAZA
Manhattan,1,POLICE PLAZA
