Borough,Number,Street
Brooklyn,1282,PUTNAM AVENUE
Bronx,116-134,WEST KINGSBRIDGE ROAD
Queens,166-026,89 AVENUE
Manhattan,349,BROADWAY
Brooklyn,1031,EAST  17 STREET
Bronx,165,WEST 197 STREET
Brooklyn,1676,BAY RIDGE AVENUE
Manhattan,295,GREENWICH STREET
Brooklyn,632,EAST 3 STREET
Brooklyn,3309,AVENUE K
Brooklyn,1628,LINCOLN PLACE
Brooklyn,560,RALPH AVENUE
Brooklyn,558,RALPH AVENUE
Brooklyn,,
Brooklyn,925,EAST 35 STREET
Brooklyn,1294,PUTNAM AVENUE
Brooklyn,417,WINTHROP STREET
Brooklyn,654,60 STREET
Brooklyn,907,ST MARKS AVENUE
Brooklyn,,
Brooklyn,1610,PROSPECT PLACE
Brooklyn,902,EAST 35 STREET
Manhattan,275,GREENWICH STREET
Queens,111-12,159 STREET
Queens,110-49,167 STREET
Brooklyn,585,EVERGREEN AVENUE
Bronx,595,BRUCKNER BLVD
Manhattan,242,BRADHURST AVENUE
Bronx,945-947,GRANT AVENUE
Brooklyn,8301,RIDGE BOULEVARD
Brooklyn,1666,GLENWOOD ROAD
Brooklyn,,
Bronx,1586,ALLERTON AVENUE
Bronx,1141,CROSBY AVENUE
Bronx,1225,MAYFLOWER AVENUE
Bronx,224,WEST 256 STREET
Staten Island,57,BERTHA PLACE
Staten Island,15,BAKER PLACE
Staten Island,340,JEWETT AVENUE
Staten Island,38,DRYDEN COURT
Staten Island,50,HAUGHWOUT AVENUE
Staten Island,105,ELIZABETH STREET
Manhattan,301,EAST  66 STREET
Queens,210-014,RICHLAND AVENUE
Brooklyn,1137,JEFFERSON AVENUE
Brooklyn,264,DE GRAW STREET
Queens,147-028,90 AVENUE
Brooklyn,833,AVENUE Z
Brooklyn,162-21,JAMAICA AVENUE
Brooklyn,162-21,JAMAICA AVENUE
Bronx,123-125,VAN CORTLANDT AVENUE WEST
Queens,124-021,LUCAS STREET
Brooklyn,5101,19 AVENUE
Queens,124-021,LUCAS STREET
Brooklyn,1466,EAST 8 STREET
Brooklyn,892,ST JOHNS PLACE
Queens,149-037,259 STREET
Queens,148-056,241 STREET
Brooklyn,3820,9 AVENUE
Brooklyn,2835,WEST 30 STREET
Brooklyn,162-21,JAMAICA AVENUE
Brooklyn,1411,HANCOCK STREET
Brooklyn,160,20 STREET
Queens,1936,MADISON STREET
Brooklyn,41,CORNELIA ST
Manhattan,518,WEST 135 STREET
Brooklyn,,
Queens,147-073,BROOKVILLE BLVD
Brooklyn,620,HANCOCK STREET
Brooklyn,1135,JEFFERSON AVENUE
Brooklyn,95,HART STREET
Queens,95-022,63 ROAD
Brooklyn,,
Queens,1917,LINDEN STREET
Queens,158-03,86 STREET
Queens,20-068,46 STREET
Queens,65-07,77 PLACE
Brooklyn,162-21,JAMAICA AVENUE
Brooklyn,96,EAST 54 STREET
Queens,249-050,147 AVENUE
Brooklyn,231,CLINTON STREET
Queens,21-029,24 DRIVE
Brooklyn,856,LENOX ROAD
Queens,97-05,191 STREET
Brooklyn,,
Queens,88-001,ST JAMES AVENUE
Brooklyn,2579,OCEAN AVENUE
Brooklyn,1483,SHORE PARKWAY
Brooklyn,,
Manhattan,315,WEST  98 STREET
Brooklyn,90,68 STREET
Queens,90-41,209 STREET
Brooklyn,155,EAST 54 STREET
Brooklyn,52,ORANGE STREET
Brooklyn,459,9 STREET
Queens,20-061,27 STREET
Queens,88-025,MERRICK BOULEVARD
Queens,149-069,256 STREET
Queens,82-50,KEW GARDENS ROAD
Queens,162-020,89 AVENUE
Brooklyn,85,VERNON AVENUE
Brooklyn,251,WEIRFIELD STREET
Bronx,3887,CANNON PLACE
Brooklyn,1385,PUTNAM AVENUE
Bronx,3162,MILES AVENUE
Queens,20-062,27 STREET
Queens,59-003,SUMMERFIELD STREET
Brooklyn,896,WYCKOFF AVENUE
Queens,21-029,24 DRIVE
Queens,123-026,GRAYSON STREET
Brooklyn,,
Bronx,3817,SEDGWICK AVENUE
Queens,85-064,98 STREET
Brooklyn,1245,HANCOCK STREET
Bronx,3960-4048,SAXON AVENUE
Queens,21-029,24 DRIVE
Bronx,2023,POWELL AVENUE
Brooklyn,5316,CHURCH AVENUE
Brooklyn,354,EAST 54 STREET
Queens,166-005,89 AVENUE
Bronx,592,WALES AVENUE
Manhattan,203,WEST 133 STREET
Queens,124-019,LUCAS STREET
Brooklyn,495,5 AVENUE
Queens,41-001,43 AVENUE
Queens,149-003,EDGEWOOD STREET
Bronx,584,TIMPSON PLACE
Manhattan,151,EAST  58 STREET
Manhattan,238,1 AVENUE
Bronx,3823,CANNON PLACE
Queens,158-04,86 STREET
Bronx,1904,BRONXDALE AVENUE
Bronx,100,WINTERS STREET
Brooklyn,981,HANCOCK STREET
Queens,143-36,37 AVENUE
Queens,158-04,86 STREET
Queens,108-46,64 ROAD
Brooklyn,5311,CHURCH AVENUE
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,1280,EAST 104 STREET
Brooklyn,476,ELTON STREET
Brooklyn,,
Brooklyn,,
Brooklyn,1382,EAST  98 STREET
Brooklyn,1333,EAST  98 ST
Brooklyn,9727,SEAVIEW AV
Brooklyn,1537,EAST  98 STREET
Staten Island,22,CRANFORD AVENUE
Staten Island,9,ARDSLEY STREET
Staten Island,226,BEDELL AVENUE
Brooklyn,5301,SNYDER AVENUE
Bronx,871,EAST 179 STREET
Queens,149-69,256 STREEET
Queens,135-39,95 STREET
Queens,332,BEACH  37 STREET
Manhattan,528,WEST 39 STREET
Brooklyn,874,LENOX ROAD
Queens,238-073,149 AVENUE
Bronx,818,EAST 232 STREET
Bronx,5660,POST ROAD
Queens,,
Queens,425,BEACH 127 STREET
Queens,32-023,BEACH CHANNEL DRIVE
Bronx,2816,HARRINGTON AVENUE
Bronx,2899,CODDINGTON AVENUE
Bronx,3078,CODDINGTON AVENUE
Bronx,586,CITY ISLAND AVENUE
Bronx,2223,LODOVICK AVENUE
Bronx,650,MEAD STREET
Brooklyn,292,PARKVILLE AVENUE
Brooklyn,335,78 STREET
Bronx,3124,SEYMOUR AVENUE
Bronx,3349,CORSA AVENUE
Bronx,4330,BRONX BOULEVARD
Bronx,744,METCALF AVENUE
Brooklyn,39,PAERDEGAT  5 STREET
Brooklyn,54,PAERDEGAT  4 STREET
Staten Island,1880,HYLAN BOULEVARD
Queens,97-037,103 STREET
Queens,257-032,148 DRIVE
Queens,68-009,BEACH CHANNEL DRIVE
Bronx,2287,UNIVERSITY AVENUE
Bronx,275,EAST 161 STREET
Queens,,
Manhattan,832,AMSTERDAM AVENUE
Staten Island,12,MC DONALD STREET
Brooklyn,135,WYTHE AVENUE
Brooklyn,1483,SHORE PARKWAY
Brooklyn,816,LENOX ROAD
Queens,53-24,192 STREET
Bronx,467,EAST 155 STREET
Queens,214-037,38 AVENUE
Brooklyn,66,EAST 58 STREET
Brooklyn,276,39 STREET
Brooklyn,810,LINDEN BOULEVARD
Staten Island,29,BARBARA STREET
Brooklyn,4419,AVENUE N
Brooklyn,483,MYRTLE AVENUE
Brooklyn,6004,13 AVENUE
Queens,,
Brooklyn,225,EAST 54 STREET
Queens,5-052,SEAGIRT BOULEVARD
Brooklyn,1396,JEFFERSON AVENUE
Queens,127-12,107 AVENUE
Queens,187-018,NASHVILLE BOULEVARD
Staten Island,75,CAMERON AVENUE
Queens,,
Brooklyn,900,WYCKOFF AVENUE
Brooklyn,235,EAST 54 STREET
Queens,90-016,215 STREET
Manhattan,531,WEST 145 STREET
Queens,353,BEACH 57 STREET
Brooklyn,740,42 STREET
Queens,,
Brooklyn,249,EAST 54 STREET
Manhattan,830,AMSTERDAM AVENUE
Brooklyn,1339,JEFFERSON AVENUE
Brooklyn,16,WINDSOR PLACE
Queens,194-042,115 ROAD
Brooklyn,40,FLATBUSH AVENUE EXTENSION
Queens,185-19,WILLIAMSON AVENUE
Brooklyn,249,EAST 54 STREET
Manhattan,57,ST NICHOLAS PLACE
Queens,805,CROSS BAY BOULEVARD
Brooklyn,58,EAST 58 STREET
Brooklyn,123,LINDEN BOULEVARD
Queens,333,BEACH 95 STREET
Queens,43-060,160 STREET
Staten Island,615,HUGUENOT AVENUE
Queens,183-014,HILLSIDE AVENUE
Brooklyn,1489,JEFFERSON AVENUE
Queens,69-65,229 STREET
Queens,148-005,ROCKAWAY BEACH BOULEVARD
Brooklyn,119,70 STREET
Brooklyn,,
Brooklyn,237,EAST 54 STREET
Queens,,
Queens,67-083,FLEET STREET
Brooklyn,1292,TROY AVENUE
Brooklyn,1813,EAST 19 STREET
Brooklyn,356,7 AVENUE
Bronx,2785-2805,CRESTON AVENUE
Staten Island,12,MC DONALD STREET
Manhattan,315,WEST  4 STREET
Brooklyn,1407-1409,JEFFERSON AVENUE
Queens,60-02,60 STREET
Brooklyn,764,ALBANY AVENUE
Queens,308,BEACH 12 STREET
Brooklyn,154,WEIRFIELD STREET
Queens,,
Brooklyn,6825,COLONIAL ROAD
Queens,,
Queens,548,CROSS BAY BOULEVARD
Staten Island,60,ALLEN PLACE
Brooklyn,223,23 STREET
Staten Island,135,9 STREET
Brooklyn,141,57 ST
Queens,132-40,80 STREET
Brooklyn,6825,COLONIAL ROAD
Staten Island,644,BAY STREET
Queens,,
Queens,532,CROSS BAY BOULEVARD
Brooklyn,,
Brooklyn,161,85 STREET
Queens,58-27,61 STREET
Brooklyn,1713,61 STREET
Queens,49-29,30 PLACE
Brooklyn,114,LINDEN BOULEVARD
Queens,87-002,79 AVENUE
Brooklyn,269,15 STREET
Queens,257-32,148 DRIVE
Queens,1502,BEACH 12 STREET
Queens,65-004,AUSTIN STREET
Brooklyn,243,EAST 54 STREET
Brooklyn,235,EAST 54 STREET
Manhattan,300,WEST 107 STREET
Brooklyn,292,PARKVILLE AVENUE
Manhattan,685,WEST END AVENUE
Queens,119-022,165 STREET
Queens,90-022,215 STREET
Queens,119-010,NEWPORT AVENUE
Brooklyn,6727,COLONIAL ROAD
Brooklyn,27,PRESTON COURT
Brooklyn,,
Brooklyn,N/A,4TH ST
Brooklyn,n/a,4TH ST
Manhattan,196,7 AVENUE
Brooklyn,900,LINDEN BOULEVARD
Staten Island,483,BUEL AVENUE
Staten Island,53,BLUEBERRY LANE
Queens,22-070,MOTT AVENUE
Staten Island,,
Staten Island,,
Staten Island,,
Manhattan,157,EAST 75 STREET
Staten Island,101,MYRTLE AVENUE
Bronx,2310,UNIVERSITY AVENUE
Queens,250-008,MEMPHIS AVENUE
Brooklyn,47,CHESTER AVENUE
Queens,149-003,8 AVENUE
Brooklyn,131,76 STREET
Brooklyn,307,76 STREET
Brooklyn,545,76 STREET
Queens,31-070,138 STREET
Brooklyn,1043,EAST  17 STREET
Staten Island,353,JEFFERSON AVENUE
Brooklyn,1865,EAST 18 STREET
Brooklyn,32,SUTTER AVENUE
Staten Island,,
Queens,94-007,71 AVENUE
Staten Island,,
Staten Island,,
Staten Island,,
Brooklyn,127,WASHINGTON AVENUE
Manhattan,265,WEST 25 STREET
Staten Island,128,MYRTLE AVENUE
Manhattan,71,EAST 96 STREET
Staten Island,1007,FR CAPODANNO BOULEVARD
Staten Island,1003,FR CAPODANNO BOULEVARD
Staten Island,997,FR CAPODANNO BOULEVARD
Brooklyn,207,EAST 58 STREET
Queens,154-30,9 AVENUE
Queens,69-039,HILLMEYER AVENUE
Queens,31-070,138 STREET
Brooklyn,9133,BAY VIEW PLACE
Staten Island,1915,FOREST AVENUE
Staten Island,,
Staten Island,,
Manhattan,521,WEST 112 STREET
Brooklyn,,
Staten Island,101,MYRTLE AVENUE
Staten Island,985,FR CAPODANNO BOULEVARD
Queens,88-013,PARSONS BOULEVARD
Staten Island,167,MIDLAND AVENUE
Staten Island,23,DAKOTA PLACE
Staten Island,10,ASHWOOD COURT
Queens,188-025,QUENCER ROAD
Staten Island,174,MORELAND STREET
Brooklyn,1156,BAY RIDGE PARKWAY
Staten Island,68,POTTER AVENUE
Staten Island,77,POTTER AVENUE
Staten Island,1640,FOREST AVENUE
Staten Island,1107,FR CAPODANNO BOULEVARD
Staten Island,,
Queens,31-53,92 STREET
Staten Island,,
Manhattan,531,WEST 112 STREET
Brooklyn,5612,CLARENDON ROAD
Brooklyn,5816,BEVERLY ROAD
Brooklyn,5718-20,BEVERLY ROAD
Brooklyn,401,76 STREET
Queens,31-070,138 STREET
Bronx,3146,WATERBURY AVENUE
Brooklyn,89,GREENPOINT AVENUE
Bronx,904,CRANFORD AVENUE
Bronx,4108,BRONXWOOD AVENUE
Bronx,3219,KINGSLAND AVENUE
Bronx,4265,KATONAH AVENUE
Staten Island,749,STAFFORD AVENUE
Staten Island,39,STATION AVENUE
Staten Island,2136,ADLERS WAY
Staten Island,126,FINLEY AVENUE
Staten Island,13,VASSAR STREET
Brooklyn,5806,SNYDER AVENUE
Brooklyn,7502,COLONIAL ROAD
Staten Island,82,VINELAND AVENUE
Bronx,3510,HUGUENOT AVENUE
Queens,61-58,77 STREET
Staten Island,161,RENSSELAER AVENUE
Brooklyn,30,LORRAINE STREET
Staten Island,693,RAMONA AVENUE
Brooklyn,5220,TILDEN AVENUE
Queens,99-12,74 AVENUE
Bronx,1211,CROES AVENUE
Brooklyn,1033,EAST 102 STREET
Staten Island,545,BUEL AVENUE
Staten Island,101,MYRTLE AVENUE
Staten Island,101,MYRTLE AVENUE
Staten Island,,
Staten Island,1007,FR CAPODANNO BOULEVARD
Staten Island,997,FR CAPODANNO BOULEVARD
Brooklyn,5405-9,BEVERLY ROAD
Queens,179-024,UNION TURNPIKE
Staten Island,101,MYRTLE AVENUE
Staten Island,128,MYRTLE AVENUE
Queens,156-40,87 STREET
Staten Island,975,FR CAPODANNO BOULEVARD
Brooklyn,129,LORRAINE STREET
Brooklyn,255,76 STREET
Brooklyn,1781,EAST 15 STREET
Brooklyn,46,HENRY STREET
Brooklyn,538,CLINTON STREET
Staten Island,74,BEECHWOOD PLACE
Staten Island,1640,FOREST AVENUE
Staten Island,82,OCEANSIDE AVENUE
Manhattan,349,WEST 54 STREET
Staten Island,101,MYRTLE AVENUE
Brooklyn,5014,CLARENDON ROAD
Brooklyn,7701,RIDGE BOULEVARD
Brooklyn,206-208,EAST 58 STREET
Queens,,
Queens,148-004,5 AVENUE
Brooklyn,325,76 STREET
Brooklyn,186,WEST STREET
Queens,189-002,QUENCER ROAD
Queens,137-072,224 STREET
Brooklyn,131,76 STREET
Brooklyn,1348,64 STREET
Staten Island,,
Queens,38-037,218 STREET
Brooklyn,5507,KINGS HIGHWAY
Brooklyn,443,79 STREET
Brooklyn,7708,RIDGE BOULEVARD
Brooklyn,7724,RIDGE BOULEVARD
Staten Island,975,FR CAPODANNO BOULEVARD
Queens,160-042,24 AVENUE
Queens,31-070,138 STREET
Manhattan,25,1 AVENUE
Bronx,20,WEST MOSHOLU PARKWAY SOUTH
Brooklyn,43,EAST 58 STREET
Brooklyn,5018,CLARENDON ROAD
Queens,253-002,MEMPHIS AVENUE
Staten Island,387,BEDFORD AVENUE
Queens,246,BEACH 79 STREET
Brooklyn,129,LORRAINE STREET
Brooklyn,155,15 STREET
Staten Island,1101,FR CAPODANNO BOULEVARD
Brooklyn,890,LINDEN BOULEVARD
Staten Island,,
Queens,10-026,152 STREET
Brooklyn,3519,AVENUE P
Brooklyn,78,INDIA STREET
Brooklyn,7422,4 AVENUE
Brooklyn,155,15 STREET
Staten Island,1101,FR CAPODANNO BOULEVARD
Queens,103-020,METROPOLITAN AVENUE
Staten Island,,
Staten Island,101,MYRTLE AVENUE
Staten Island,101,MYRTLE AVENUE
Queens,51-015,BEACH CHANNEL DRIVE
Queens,28-017,216 STREET
Brooklyn,7801,COLONIAL ROAD
Staten Island,,
Brooklyn,5710,BEVERLY ROAD
Staten Island,203,FR CAPODANNO BOULEVARD
Queens,11-001,WATERVIEW STREET
Staten Island,36,COLONIAL COURT
Queens,196-21,118 AVENUE
Queens,133-002,230 STREET
Queens,115-28,229 STREET
Queens,60-71,54 PLACE
Staten Island,799,FR CAPODANNO BOULEVARD
Brooklyn,5106-5110,BEVERLY ROAD
Staten Island,1738,ARDEN AVENUE
Staten Island,,
Queens,103-024,114 STREET
Queens,243-061,144 AVENUE
Queens,115-38,222 STREET
Staten Island,983,FR CAPODANNO BOULEVARD
Brooklyn,,
Queens,28-023,216 STREET
Staten Island,,
Staten Island,,
Brooklyn,469,MARLBOROUGH ROAD
Staten Island,,
Staten Island,101,MYRTLE AVENUE
Staten Island,,
Brooklyn,649,EAST 52 STREET
Queens,23-065,91 STREET
Brooklyn,,
Queens,316,BEACH 92 STREET
Queens,167,BEACH 112 STREET
Staten Island,997,FR CAPODANNO BOULEVARD
Queens,0,POWELLS COVE BOULEVARD
Brooklyn,361,76 STREET
Queens,31-070,138 STREET
Brooklyn,886,LINDEN BOULEVARD
Bronx,2251,SEDGWICK AVENUE
Brooklyn,123,LORRAINE STREET
Staten Island,1007,FR CAPODANNO BOULEVARD
Staten Island,997,FR CAPODANNO BOULEVARD
Brooklyn,129,LORRAINE STREET
Brooklyn,208-212,EAST 58 STREET
Brooklyn,153,76 STREET
Queens,31-070,138 STREET
Queens,88-08,102 ROAD
Brooklyn,7909,COLONIAL ROAD
Staten Island,1007,FR CAPODANNO BOULEVARD
Queens,68-11,OLCOTT STREET
Staten Island,101,MYRTLE AVENUE
Brooklyn,607,EAST 53 STREET
Staten Island,1011,FR CAPODANNO BOULEVARD
Brooklyn,225,EAST 58 STREET
Queens,31-070,138 STREET
Staten Island,90,PIAVE AVENUE
Staten Island,98,PIAVE AVENUE
Queens,45-017,JUNCTION BOULEVARD
Manhattan,600,9 AVENUE
Staten Island,238,MONTREAL AVENUE
Staten Island,135,WINHAM AVENUE
Brooklyn,458,EAST 51 STREET
Staten Island,,
Brooklyn,183,LORRAINE STREET
Staten Island,,
Brooklyn,561,COURT STREET
Queens,80-053,269 STREET
Staten Island,,
Queens,405,BEACH 135 STREET
Queens,256,BEACH 134 STREET
Staten Island,122,FINLEY AVENUE
Staten Island,90,PIAVE AVENUE
Queens,145-23,18 AVENUE
Queens,5-07,119 STREET
Bronx,185,WEST 231 STREET
Brooklyn,49,EAST 59 STREET
Manhattan,370,WEST 58 STREET
Manhattan,116,CENTRE STREET
Brooklyn,937,UTICA AVENUE
Queens,66-073,FRESH POND ROAD
Staten Island,639,RENSSELAER AVENUE
Staten Island,187,RENSSELAER AVENUE
Staten Island,90,PIAVE AVENUE
Queens,69-018,LOUBET STREET
Staten Island,90,PIAVE AVENUE
Staten Island,125,TALLMAN STREET
Staten Island,330,COLON AVENUE
Brooklyn,274,20 STREET
Brooklyn,5311-3,TILDEN AVENUE
Staten Island,,
Queens,84-15,BEVERLY ROAD
Staten Island,621,RENSSELAER AVENUE
Staten Island,187,RENSSELAER AVENUE
Staten Island,26,MILTON AVENUE
Staten Island,71,MILTON AVENUE
Brooklyn,5599,KINGS HIGHWAY
Staten Island,52,Acorn St
Staten Island,329,WAINWRIGHT AVENUE
Staten Island,191,JEROME AVENUE
Staten Island,,
Staten Island,,
Brooklyn,8419,19 AVENUE
Bronx,2211,DE REIMER AVENUE
Bronx,120,CO OP CITY BOULEVARD
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,3,PAERDEGAT  11 STREET
Brooklyn,31,PAERDEGAT  11 STREET
Brooklyn,15,PAERDEGAT  10 STREET
Staten Island,667,KLONDIKE AVENUE
Staten Island,,
Staten Island,,
Staten Island,809,FR CAPODANNO BOULEVARD
Staten Island,465,FR CAPODANNO BOULEVARD
Queens,154-004,CROSS BAY BOULEVARD
Staten Island,14,CORNELIA STREET
Staten Island,852,BAY STREET
Staten Island,184,BIONIA AVENUE
Staten Island,189,BIONIA AVENUE
Staten Island,111,CROWN AVENUE
Queens,150-048,25 DRIVE
Staten Island,125,MARINE WAY
Staten Island,,
Brooklyn,622,COURT STREET
Staten Island,,
Queens,182,BEACH 134 STREET
Manhattan,203,EAST 30 STREET
Queens,203,GROSVENOR
Staten Island,65,MARION AVENUE
Staten Island,229,LOCUST AVENUE
Brooklyn,368,76 STREET
Staten Island,81,WINANT PLACE
Staten Island,,
Brooklyn,8307,21 AVENUE
Queens,85-027,107 STREET
Staten Island,326,COLON AVENUE
Brooklyn,5415,CHURCH AVENUE
Staten Island,24,STEVENSON PLACE
Queens,218-017,99 AVENUE
Staten Island,36,VINELAND AVENUE
Brooklyn,1317,72 STREET
Staten Island,25,WEST TERRACE
Brooklyn,8310,21 AVENUE
Brooklyn,5614,CHURCH AVENUE
Queens,101-25,92 STREET
Queens,134-006,ROCKAWAY BEACH BOULEVARD
Staten Island,1550,RICHMOND AVENUE
Staten Island,217,MASON BOULEVARD
Queens,,
Staten Island,,
Queens,23-010,CAMP ROAD
Brooklyn,356,76 STREET
Brooklyn,5413,CHURCH AVENUE
Staten Island,226,WOEHRLE AVENUE
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Queens,271,BREVOORT STREET
Brooklyn,8310,21 AVENUE
Staten Island,5,BRENTWOOD AVENUE
Staten Island,134,NORTHFIELD AVENUE
Manhattan,796,9 AVENUE
Queens,168-11,67 AVENUE
Staten Island,,
Staten Island,,
Queens,94-011,60 AVENUE
Queens,86-036,112 STREET
Manhattan,332,9 AVENUE
Queens,100-001,ASCAN AVENUE
Queens,24-010,BAYSWATER AVENUE
Brooklyn,17,LORRAINE STREET
Queens,60-076,CATALPA AVENUE
Staten Island,117,SHELDON AVENUE
Staten Island,,
Queens,85-062,113 STREET
Manhattan,365,WEST 24 STREET
Staten Island,263,TANGLEWOOD DRIVE
Brooklyn,8310,21 AVENUE
Brooklyn,8403,19 AVENUE
Staten Island,435,MILL ROAD
Queens,99-027,207 STREET
Staten Island,20,STROUD AVENUE
Manhattan,891,9 AVENUE
Brooklyn,238,BEDFORD AVENUE
Staten Island,45,SCHLEY AVENUE
Staten Island,25,WEST TERRACE
Brooklyn,8313,21 AVENUE
Queens,139-005,253 STREET
Staten Island,81,WINANT PLACE
Staten Island,120,SHELDON AVENUE
Staten Island,283,PAGE AVENUE
Brooklyn,780,NEW JERSEY AVENUE
Brooklyn,113,CONKLIN AVENUE
Brooklyn,312,76 STREET
Staten Island,125,TALLMAN STREET
Staten Island,1974,S SERVICE ROAD
Queens,219-046,91 ROAD
Staten Island,154,BAY TERRACE
Brooklyn,8309,20 AVENUE
Brooklyn,1345,EAST 100 STREET
Bronx,1024,CLARENCE AVENUE
Brooklyn,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,829,FR CAPODANNO BOULEVARD
Staten Island,829,FR CAPODANNO BOULEVARD
Staten Island,829,FR CAPODANNO BOULEVARD
Staten Island,829,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,387,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,809,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,465,FR CAPODANNO BOULEVARD
Staten Island,481,FR CAPODANNO BOULEVARD
Staten Island,481,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,847,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,,
Staten Island,841,FR CAPODANNO BOULEVARD
Staten Island,841,FR CAPODANNO BOULEVARD
Staten Island,841,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,,
Staten Island,465,FR CAPODANNO BOULEVARD
Staten Island,387,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,,
Staten Island,841,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,841,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,845,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,,
Staten Island,481,FR CAPODANNO BOULEVARD
Staten Island,1109,FR CAPODANNO BOULEVARD
Staten Island,465,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,465,FR CAPODANNO BOULEVARD
Staten Island,,
Staten Island,,
Staten Island,481,FR CAPODANNO BOULEVARD
Staten Island,843,FR CAPODANNO BOULEVARD
Bronx,2881,EAST 195 STREET
Bronx,2869,EAST 194 STREET
Bronx,1562,BOGART AVENUE
Brooklyn,30,SUTTER AVENUE
Brooklyn,4023,AVENUE K
Brooklyn,1240,82 STREET
Brooklyn,324,FOSTER AVENUE
Brooklyn,560,60 ST
Brooklyn,8010,13 AVENUE
Brooklyn,362,MAC DONOUGH STREET
Brooklyn,345,7 AVENUE
Brooklyn,366,7 AVENUE
Brooklyn,904,PACIFIC STREET
Brooklyn,713,CLASSON AVENUE
Brooklyn,8312,13 AVENUE
Brooklyn,11,BAY  35 STREET
Brooklyn,8312,13 AVENUE
Brooklyn,2376,EAST 4 STREET
Brooklyn,21,PAERDEGAT 5 STREET
Queens,143-004,NEWPORT AVENUE
Queens,146-005,ROCKAWAY BEACH BOULEVARD
Bronx,2275,DAVIDSON AVENUE
Bronx,1968,ARTHUR AVENUE
Queens,89-19,164 AVENUE
Queens,94-014,108 AVENUE
Brooklyn,8501,NEW UTRECHT AVENUE
Brooklyn,8884,17 AVENUE
Queens,105-034,80 STREET
Manhattan,27,ST JAMES PLACE
Brooklyn,931,RALPH AVENUE
Staten Island,179,GOODWIN AVENUE
Bronx,1008,EAST TREMONT AVENUE
Queens,,
Brooklyn,8884,17 AVENUE
Queens,301,BEACH 92 STREET
Brooklyn,8884,17 AVENUE
Staten Island,60,MANN AVENUE
Manhattan,64,NORFOLK STREET
Queens,104-026,102 STREET
Bronx,629,KAPPOCK STREET
Bronx,629,KAPPOCK STREET
Manhattan,1225,PARK AVENUE
Brooklyn,8884,17 AVENUE
Queens,94-010,85 AVENUE
Bronx,282,EAST 204 STREET
Manhattan,1,MONROE STREET
Manhattan,128,SULLIVAN STREET
Manhattan,133-163,DELANCEY STREET
Queens,160-031,24 AVENUE
Bronx,629,KAPPOCK STREET
Bronx,3915,ORLOFF AVENUE
Queens,100-014,159 AVENUE
Brooklyn,8884,17 AVENUE
Queens,105-017,80 STREET
Queens,306,BEACH 19 STREET
Queens,115-01,CURZON ROAD
Queens,109,82 ROAD
Manhattan,1,MONROE STREET
Manhattan,5,MONROE STREET
Manhattan,2,LEWIS STREET
Bronx,855,EAST 175 STREET
Brooklyn,,
Queens,,
Queens,226-016,147 AVENUE
Queens,228-009,147 AVENUE
Queens,84-04,163 AVENUE
Queens,81-052,249 STREET
Manhattan,2612,BROADWAY
Queens,103-16,ROCKAWAY BEACH BOULEVARD
Brooklyn,8884,17 AVENUE
Manhattan,37,ST JAMES PLACE
Manhattan,65,NORFOLK STREET
Brooklyn,,
Manhattan,115,DELANCEY STREET
Manhattan,133-163,DELANCEY STREET
Brooklyn,153,HEMLOCK STREET
Staten Island,227,LEVERETT AVENUE
Manhattan,336,CENTRAL PARK WEST
Brooklyn,1153,78 STREET
Manhattan,568,GRAND STREET
Brooklyn,,
Bronx,3206,OXFORD AVENUE
Queens,160-015,POWELLS COVE BOULEVARD
Brooklyn,,
Brooklyn,8502,21 AVENUE
Brooklyn,8884,17 AVENUE
Brooklyn,343,EAST 59 STREET
Manhattan,27,ST JAMES PLACE
Manhattan,1,MONROE STREET
Staten Island,291,WOOLLEY AVENUE
Manhattan,133-163,DELANCEY STREET
Queens,149-047,124 STREET
Brooklyn,,
Queens,104-022,120 STREET
Queens,,
Manhattan,275,CHERRY STREET
Manhattan,27,ST JAMES PLACE
Bronx,2412,UNIVERSITY AVENUE
